alt_name_x,gubernia,href,lat,long,name,province,google_maps,jewish_gen,usbgn,alt_name_y,notes,population,region,pop1,year1,pop2,year2,pop_diff,year_diff,pop_diff_year,google_lat,google_long
?,Suwalki,/town/filipow.htm,54?11',22?37',Filipow,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.183333,22.616667+(Filipow)&ie=UTF8&ll=54.183333,22.616667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.183333&long=22.616667,-500899,"Alternate?names: Filip?w [Pol], Filipova [Yid], Filipuv [Rus], Filipowo","Russian: ???????.   Yiddish: ?????????
In NE Poland, 14 miles NW of Suwa?ki.","856 (in 1847), 548 (in 1897)",Suwalki,856,1847,548,1897,-308.0,50.0,-6.16,54.183333,22.616667
?,?,/town/firlej.htm,51?33',22?29',Firlej,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.55,22.483333+(Firlej)&ie=UTF8&ll=51.55,22.483333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.55&long=22.483333,-500910,Alternate?names: Firlej [Pol],"Russian: ??????.   Hebrew: ??????
21 miles N of Lublin, 6 miles NW of Lubart?w.",174,Lublin,174,1900,,,,,,51.55,22.483333
?,?,/town/fordon.htm,53?09',18?11',Fordon,Bydgoszcz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.15,18.183333+(Fordon)&ie=UTF8&ll=53.15,18.183333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.15&long=18.183333,-500955,"Alternate?names: Fordon [Pol, Ger]","72 miles NE of Pozna? (Posen), 8 miles E of Bydgoszcz (Bromberg).",,Prussia,,1900,,,,,,53.15,18.183333
?,?,/town/frampol.htm,50?41',22?40',Frampol,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.683333,22.666667+(Frampol)&ie=UTF8&ll=50.683333,22.666667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.683333&long=22.666667,-500969,"Alternate?names: Frampol [Pol, Yid], Frampol' [Rus], Franpol","Russian: ????????.   Yiddish: ??????????? / ??????? 
40 miles S of Lublin, 26 miles W of Zamo??, 9 miles N of Bi?goraj.","659 (in 1857), 1,465 (in 1921)",Lublin,659,1857,1465,1921,806.0,64.0,12.59375,50.683333,22.666667
Frauenburg,?,/town/frombork.htm,54?22',19?41',Frombork,Olsztyn,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.366667,19.683333+(Frombork)&ie=UTF8&ll=54.366667,19.683333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.366667&long=19.683333,0,,,,,,1900,,,,,,54.366667,19.683333
?,Plock,/town/gabin.htm,52?24',19?44',Gabin,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.4,19.733333+(Gabin)&ie=UTF8&ll=52.4,19.733333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.4&long=19.733333,-501031,"Alternate?names: G?bin [Pol], Gombin [Yid, Ger, Rus], Gambin","Russian: ??????.   Yiddish: ??????  
10 miles S of P?ock (Plotzk).","2,539",Warszawa,2539,1900,,,,,,52.4,19.733333
Garnsee,Prussia,/town/gardeja.htm,53?37',18?57',Gardeja,Gdansk,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.616667,18.95+(Gardeja)&ie=UTF8&ll=53.616667,18.95&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.616667&long=18.95,-501255,"Alternate?names: Gardeja [Pol], Garnsee [Ger]","52 miles SSE of Gda?sk (Danzig), 12 miles NE of Grudzi?dz (Graudenz).",,Prussia,,1900,,,,,,53.616667,18.95
?,?,/town/gawlow.htm,?,?,Gawlow,?,,,0,,,,,,1900,,,,,,,
?,?,/town/gawlowek.htm,?,?,Gawlowek,?,,,0,,,,,,1900,,,,,,,
Danzig,?,/town/gdansk.htm,54?21',18?40',Gdansk,Gdansk,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.35,18.666667+(Gdansk)&ie=UTF8&ll=54.35,18.666667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.35&long=18.666667,-501400,"Alternate?names: Gda?sk [Pol], Danzig [Ger], Dantsik [Yid], Gdu?sk [Kashub], Dantzig [Rus], Dantsk","Yiddish: ?????? / ??????
Poland's main seaport, on the Baltic Sea.
Center of Eastern Pomerania.
Between the two World Wars, a Free City.","2,535 (in 1890), 2,717 (1910)",Prussia,2535,1890,2717,1910,182.0,20.0,9.1,54.35,18.666667
Gembitz,?,/town/gebice.htm,52?35',18?02',Gebice,Bydgoszcz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.583333,18.033333+(Gebice)&ie=UTF8&ll=52.583333,18.033333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.583333&long=18.033333,0,,,,,,1900,,,,,,52.583333,18.033333
?,?,/town/gierczyce.htm,49?56',20?20',Gierczyce,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.948333,20.345+(Gierczyce)&ie=UTF8&ll=49.948333,20.345&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.948333&long=20.345,-501508,,,,,,1900,,,,,,49.948333,20.345
Glinyany,Galicia,/town/gliniany.htm,49?49',24?31',Gliniany,Ukraine,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.816667,24.516667+(Gliniany)&ie=UTF8&ll=49.816667,24.516667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.816667&long=24.516667,-1039042,"Alternate?names: Hlyniany [Ukr], Gliniany [Pol], Glina [Yid], Glinyany [Rus], Glinah, Gline, Hlynjany","Ukrainian: ???????.   Russian: ???????. 
 Yiddish: ?????
50 miles WNW of Ternopil (Tarnopol), 23 miles E of L'viv (Lvov), 10 miles N of Peremyshlyany (Przemy?lany).","2,088 (in 1890), 2,418 (in 1910)",Tarnopol,2088,1890,2418,1910,330.0,20.0,16.5,49.816667,24.516667
Gleiwitz,?,/town/gliwice.htm,50?17',18?40',Gliwice,Katowice,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.283333,18.666667+(Gliwice)&ie=UTF8&ll=50.283333,18.666667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.283333&long=18.666667,-501777,"Alternate?names: Gliwice [Pol], Gleiwitz [Ger], Hlivice [Cz], Gliwice-Sosnowiec","In Upper Silesia, 15 miles W of Katowice.","2,009 (in 1867), 1,845 (in 1932)",Prussia,2009,1867,1845,1932,-164.0,65.0,-2.523076923076923,50.283333,18.666667
Gleiwitz-Land,?,/town/gliwice_powiat.htm,?,?,Gliwice Powiat,Katowice,,,0,,,,,,1900,,,,,,,
Brzezinka,?,/town/gliwice-brzezin.htm,?,?,Gliwice-Brzezinka,Katowice,,,0,,,,,,1900,,,,,,,
Glogau,?,/town/glogow.htm,51?40',16?06',Glogow,Zielona,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.666667,16.1+(Glogow)&ie=UTF8&ll=51.666667,16.1&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.666667&long=16.1,-501806,"Alternate?names: G?og?w [Pol], Glogau [Ger], Hlohov [Cz], Glogovia [Lat], Gro?-Glogau","In Lower Silesia, 56 miles NW of Wroc?aw (Breslau), 64 miles SW of Pozna? (Posen).
[Not to be confused with G?og?w Ma?opolski, N of Rzesz?w, in Galicia].","1,644 (in 1756), 716 (in 1900)",Prussia,1644,1756,716,1900,-928.0,144.0,-6.444444444444445,51.666667,16.1
?,Galicia,/town/glogow_malopols.htm,50?09',21?58',Glogow Malopolski,Rzeszow,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.15,21.966667+(Glogow Malopolski)&ie=UTF8&ll=50.15,21.966667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.15&long=21.966667,-501819,"Alternate?names: G?og?w Ma?opolski [Pol], Glogev [Yid], Glogov, G?og?w"," Yiddish: ????????.    Hebrew: ?????? ?????????
7 miles NNW of Rzesz?w.
[Not to be confused with Glogau in Lower Silesia].","1,201 (in 1880), 648 (in 1921)",Lwow,1201,1880,648,1921,-553.0,41.0,-13.487804878048781,50.15,21.966667
Oberglogau,?,/town/glogowek.htm,50?22',17?52',Glogowek,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.366667,17.866667+(Glogowek)&ie=UTF8&ll=50.366667,17.866667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.366667&long=17.866667,-501810,"Alternate?names: G?og?wek [Pol], Oberglogau [Ger], Horn? Hlohov [Cz], Glogovia Minor [Lat], Klein Glogau, Kraut Glogau, Ober Glogau","In Upper Silesia, 21 miles S of Opole (Oppeln), 24 miles NW of Racib?rz (Ratibor), near the Czech border.","170 (in 1880), 63 (in 1933)",Prussia,170,1880,63,1933,-107.0,53.0,-2.018867924528302,50.366667,17.866667
?,Radom,/town/glowaczow.htm,51?38',21?19',Glowaczow,Kielce,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.633333,21.316667+(Glowaczow)&ie=UTF8&ll=51.633333,21.316667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.633333&long=21.316667,-501834,"Alternate?names: G?owacz?w [Pol], Glavtchev [Yid], Glovachev [Rus]","Russian: ????????.   Hebrew: ??????'??
17 miles NE of Radom, 11 miles WNW of Kozienice.","1,109 (in 1897), 1,411 (in 1921)",Radom,1109,1897,1411,1921,302.0,24.0,12.583333333333334,51.633333,21.316667
?,Piotrkow,/town/glowno.htm,51?58',19?44',Glowno,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.966667,19.733333+(Glowno)&ie=UTF8&ll=51.966667,19.733333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.966667&long=19.733333,-501857,"Alternate?names: G?owno [Pol], Glovna [Yid], Glovno [Rus]","Russian: ?????? / ??????.   Yiddish: ?????????.   
 Hebrew: ??????
19 miles NE of ??d?, 13 miles SW of ?owicz, 12 miles N of Brzeziny.","1,237 (in 1857), 1,430 (in 1921)",Piotrkow,1237,1857,1430,1921,193.0,64.0,3.015625,51.966667,19.733333
Leobschuetz,?,/town/glubczyce.htm,50?12',17?49',Glubczyce,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.2,17.816667+(Glubczyce)&ie=UTF8&ll=50.2,17.816667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.2&long=17.816667,0,,,,,,1900,,,,,,50.2,17.816667
Ziegenhals,?,/town/glucholazy.htm,50?19',17?22',Glucholazy,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.316667,17.366667+(Glucholazy)&ie=UTF8&ll=50.316667,17.366667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.316667&long=17.366667,0,,,,,,1900,,,,,,50.316667,17.366667
?,Lublin,/town/glusk.htm,51?11',22?36',Glusk,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.183333,22.6+(Glusk)&ie=UTF8&ll=51.183333,22.6&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.183333&long=22.6,-501903,"Alternate?names: G?usk [Pol], Glisk [Yid]","Russian: ?????.   Hebrew: ?????
5 miles S of Lublin.  Since 1988, part of Lublin.","369 (in 1861), 390 (in 1921)",Lublin,369,1861,390,1921,21.0,60.0,0.35,51.183333,22.6
Argenau,?,/town/gniewkowo.htm,52?53',18?26',Gniewkowo,Bydgoszcz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.883333,18.433333+(Gniewkowo)&ie=UTF8&ll=52.883333,18.433333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.883333&long=18.433333,0,,,,,,1900,,,,,,52.883333,18.433333
?,?,/town/gniewoszow.htm,51?28',21?48',Gniewoszow,Kielce,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.466667,21.8+(Gniewoszow)&ie=UTF8&ll=51.466667,21.8&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.466667&long=21.8,-501963,"Alternate?names: Gniewosz?w [Pol], Ginivishov [Yid], Gnyevoshuv [Rus], Gnevetchov, Gnivoshov, Gniewaszow, Gnevoshev","Russian: ???????? / ????????.   Yiddish: ?????????? / ??????????.   
 Hebrew: ?????????
28 miles E of Radom, 13 miles SE of Kozienice, 8 miles NW of Pu?awy.","1,083 (in 1861), 585 (in 1921)",Radom,1083,1861,585,1921,-498.0,60.0,-8.3,51.466667,21.8
Gnesen,?,/town/gniezno.htm,52?33',17?36',Gniezno,Poznan,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.55,17.6+(Gniezno)&ie=UTF8&ll=52.55,17.6&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.55&long=17.6,-501970,"Alternate?names: Gniezno [Pol], Gnesen [Ger], Gnesna [Lat], Hn?zdno [Cz], Gnezno, Gn?zna",28 miles ENE of Pozna? (Posen).,"1,482 (in 1885)",Prussia,1482,1885,,,,,,52.55,17.6
?,?,/town/gnojnik.htm,49?53',20?36',Gnojnik,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.894722,20.608889+(Gnojnik)&ie=UTF8&ll=49.894722,20.608889&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.894722&long=20.608889,0,,,,,,1900,,,,,,49.894722,20.608889
?,?,/town/goduszyn.htm,?,?,Goduszyn,?,,,0,,,,,,1900,,,,,,,
Gollnow,?,/town/goleniow.htm,53?34',14?49',Goleniow,Szczecin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.566667,14.816667+(Goleniow)&ie=UTF8&ll=53.566667,14.816667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.566667&long=14.816667,-502211,"Alternate?names: Goleni?w [Pol], Gollnow [Ger], G?lnow?","In Pommerania, NW Poland, 14 miles NE of Szczecin (Stettin).","165 (in 1840), 73 (in 1933)",Prussia,165,1840,73,1933,-92.0,93.0,-0.989247311827957,53.566667,14.816667
Langguhle,Kalisz,/town/golina.htm,52?15',18?06',Golina,Poznan,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.25,18.1+(Golina)&ie=UTF8&ll=52.25,18.1&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.25&long=18.1,-502233,"Alternate?names: Golina [Pol, Yid, Rus], Gohlen [Ger, 1940-45], Golin, Gollin, Gohlen am Warthe","Russian: ??????.   Hebrew: ??????
35 miles N of Kalisz, 7 miles WSW of Konin.",679,Kalisz,679,1900,,,,,,52.25,18.1
Holohory,Galicia,/town/gologory.htm,49?45',24?43',Gologory,Ukraine,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.75,24.716667+(Gologory)&ie=UTF8&ll=49.75,24.716667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.75&long=24.716667,-1039192,"Alternate?names: Holohory [Ukr], Go?og?ry [Pol], Goligor [Yid], Gologory [Rus], Golige, Golgora","Ukrainian: ????????.   Yiddish: ???????.   
 Russian: ????????.    Hebrew: ???????? 
32 miles E of L'viv (Lvov), 9 miles SW of Zolochiv (Z?ocz?w).","1,216 (in 1880), 505 (in 1921)",Tarnopol,1216,1880,505,1921,-711.0,41.0,-17.341463414634145,49.75,24.716667
"Dobrzyn nad Drweca, Golub Dobr",Prussia,/town/golub-dobrzyn.htm,53?06',19?03',Golub-Dobrzyn,Bydgoszcz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.110278,19.053611+(Golub-Dobrzyn)&ie=UTF8&ll=53.110278,19.053611&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.110278&long=19.053611,-502272,"Alternate?names: Golub-Dobrzy? [Pol], Dobrin bei Dervents [Yid], Dobrzy? nad Drw?c? [Pol], Dobrin an der Drewenz [Ger], Dobzhin nad Drvents, Gollub [Ger], Golub, Dobzhin, Dobzhin Golub, Dobrzy?-Golub, Golub Dobzhin","Initially two cities, separated by the Drw?ca River.  
The two cities were united in 1951.
Russian: ?????-???????.   Hebrew: ????'?? ?? ??? ??????  
Before WWI, Golub was in West Prussia (Germany), and Dobrzy? was in P?ock gubernia of the Russian Kingdom of Poland.
Between the wars, Golub was in W?brze?no district of Pomorze (Pomerania) province of Poland, and Dobrzy? nad Drw?c? was in Rypin district of Warszawa province.","1,938 (in 1897)",Plock,1938,1897,,,,,,53.110278,19.053611
?,?,/town/golymin.htm,52?48',20?53',Golymin,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.8,20.883333+(Golymin)&ie=UTF8&ll=52.8,20.883333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.8&long=20.883333,-502295,,,,,,1900,,,,,,52.8,20.883333
?,Warszawa,/town/gora_kalwaria.htm,51?59',21?14',Gora Kalwaria,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.983333,21.233333+(Gora Kalwaria)&ie=UTF8&ll=51.983333,21.233333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.983333&long=21.233333,-502357,"Alternate?names: G?ra Kalwaria [Pol], Ger [Yid], Gura-Kal'varya [Rus], Gur, Gier, G?ra Kalwarja","Russian: ????-???????? / ????-?????????.   Yiddish: ???.   
 Hebrew: ?????? ?????????????
On the Wis?a (Vistula), 21 miles SSE of Warszawa, 18 miles ENE of Gr?jec.","2,919 (in 1897)",Warszawa,2919,1897,,,,,,51.983333,21.233333
?,Lublin,/town/goraj.htm,50?43',22?40',Goraj,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.716667,22.666667+(Goraj)&ie=UTF8&ll=50.716667,22.666667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.716667&long=22.666667,-502348,"Alternate?names: Goraj [Pol], Goray [Yid, Rus], Goraj Lubelski, Gorai","Russian: ?????.   Hebrew: ?????
37 miles S of Lublin, 26 miles W of Zamo??, 12 miles N of Bi?goraj.","473 (in 1897), 394 (in 1921)",Lublin,473,1897,394,1921,-79.0,24.0,-3.2916666666666665,50.716667,22.666667
?,?,/town/gorki_wielkie.htm,?,?,Gorki Wielkie,?,,,0,,,,,,1900,,,,,,,
?,Lublin,/town/gorzkow.htm,50?57',23?01',Gorzkow,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.95,23.016667+(Gorzkow)&ie=UTF8&ll=50.95,23.016667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.95&long=23.016667,-502638,"Alternate?names: Gorzk?w [Pol], Gorshkov [Yid], Gozhkuv [Rus], Gireshkov, Gorzkov","Russian: ??????.   Hebrew: ???'???
28 miles SE of Lublin, 25 miles WSW of Che?m, 8 miles WSW of Krasnystaw.",303,Lublin,303,1900,,,,,,50.95,23.016667
Landsberg,?,/town/gorzow_slaski.htm,51?02',18?26',Gorzow Slaski,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.033333,18.433333+(Gorzow Slaski)&ie=UTF8&ll=51.033333,18.433333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.033333&long=18.433333,-502652,"Alternate?names: Gorz?w ?l?ski [Pol], Landsberg in Oberschlesien [Ger], Landsberg, Gorz?w, Landsberg an der Pros, Landsberg Schleisen
","34 miles WNW of Cz?stochowa, 2 miles SW of Praszka, in Upper Silesia.",,Silesia,,1900,,,,,,51.033333,18.433333
Landsberg an der Warthe,?,/town/gorzow_wielkopo.htm,52?44',15?14',Gorzow Wielkopolski,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.733333,15.233333+(Gorzow Wielkopolski)&ie=UTF8&ll=52.733333,15.233333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.733333&long=15.233333,-502653,"Alternate?names: Gorz?w Wielkopolski [Pol], Landsberg an der Warthe [Ger], Landsberg, Gorz?w, Gorz?w nad Wart?, Gorz?w Wlkp.","76 miles WNW of Pozna? (Posen), 54 miles SSE of Szczecin (Stettin).","730 (in 1871), 449 (in 1910)",Prussia,730,1871,449,1910,-281.0,39.0,-7.205128205128205,52.733333,15.233333
?,?,/town/gosprzydowa.htm,?,?,Gosprzydowa,?,,,0,,,,,,1900,,,,,,,
?,Prussia,/town/gostyn.htm,51?53',17?01',Gostyn,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.883333,17.016667+(Gostyn)&ie=UTF8&ll=51.883333,17.016667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.883333&long=17.016667,-502784,"Alternate?names: Gosty? [Pol], Gostyn [Ger], Gostingen [Ger, 1941-45]","37 miles S of Pozna? (Posen), 19 miles E of Leszno (Lissa).",311 (in 1871),Prussia,311,1871,,,,,,51.883333,17.016667
?,Warszawa,/town/goszczyn.htm,51?44',20?51',Goszczyn,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.733333,20.85+(Goszczyn)&ie=UTF8&ll=51.733333,20.85&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.733333&long=20.85,-502809,"Alternate?names: Goszczyn [Pol], Goshchin [Rus]","Russian: ?????.   Hebrew: ????'??
36 miles S of Warszawa, 9 miles S of Gr?jec.","185 (in 1897), 185 (in 1921)",Warszawa,185,1897,185,1921,0.0,24.0,0.0,51.733333,20.85
?,?,/town/gowarczow.htm,51?17',20?26',Gowarczow,Kielce,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.283333,20.433333+(Gowarczow)&ie=UTF8&ll=51.283333,20.433333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.283333&long=20.433333,-502823,"Alternate?names: Gowarcz?w [Pol], Govartchov [Yid], Govarchuv [Rus], Gowarchow","Russian: ????????.   Hebrew: ??????'??
52 miles SE of ??d?, 25 miles SE of Tomasz?w Mazowiecki, 6 miles N of Ko?skie.",681,Radom,681,1900,,,,,,51.283333,20.433333
?,?,/town/grabie.htm,?,?,Grabie,?,,,0,,,,,,1900,,,,,,,
?,?,/town/grabina.htm,?,?,Grabina,?,,,0,,,,,,1900,,,,,,,
?,Lublin,/town/grabowiec.htm,50?50',23?34',Grabowiec,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.833333,23.566667+(Grabowiec)&ie=UTF8&ll=50.833333,23.566667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.833333&long=23.566667,-503028,"Alternate?names: Grabowiec [Pol], Grabovitz [Yid], Grabovyets [Rus], Grabowez, Grabevits","Russian: ????????.   Yiddish: ?????????? / ?????????
21 miles S of Che?m, 16 miles ENE of Zamo??, 15 miles W of Hrubiesz?w.","1,717 (in 1897), 1,721 (in 1921)",Lublin,1717,1897,1721,1921,4.0,24.0,0.16666666666666666,50.833333,23.566667
?,Lomza,/town/grajewo.htm,53?39',22?27',Grajewo,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.65,22.45+(Grajewo)&ie=UTF8&ll=53.65,22.45&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.65&long=22.45,-503182,"Alternate?names: Grajewo [Pol], Grayavah [Yid], Graevo [Rus], Grayeve, Grayevo","Russian: ??????.   Yiddish: ????????
46 miles NW of Bia?ystok, 35 miles NNE of ?om?a, 8 miles NE of Szczuczyn.","4,336 (in 1897), 2,834 (in 1921)",Lomza,4336,1897,2834,1921,-1502.0,24.0,-62.583333333333336,53.65,22.45
?,Radom,/town/granica.htm,51?28',21?49',Granica,Kielce,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.466667,21.816667+(Granica)&ie=UTF8&ll=51.466667,21.816667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.466667&long=21.816667,-503195,"Alternate?names: Granica [Pol], Grenitz [Yid], Gronitza","Russian: ???????.   Hebrew: ??????  
1 miles W of Gniewosz?w, 7 miles S of D?blin, 29 miles E of Radom.","839 (in 1827), 651 (in 1921)",Radom,839,1827,651,1921,-188.0,94.0,-2.0,51.466667,21.816667
?,?,/town/grobla.htm,?,?,Grobla,?,,,0,,,,,,1900,,,,,,,
?,Piotrkow,/town/grocholice.htm,51?20',19?22',Grocholice,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.333333,19.366667+(Grocholice)&ie=UTF8&ll=51.333333,19.366667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.333333&long=19.366667,-503292,"Alternate?names: Grocholice [Pol], Grocholitza [Yid], Grokholitze [Rus], Grokholice","Russian: ?????????.
14 miles SSW of Piotrk?w Trybunalski.  
Since 1977, part of Belchat?w.","151 (in 1857), 125 (in 1897)",Piotrkow,151,1857,125,1897,-26.0,40.0,-0.65,51.333333,19.366667
Gorodek Jagiellonski,Galicia,/town/grodek_jagiello.htm,49?47',23?39',Grodek Jagiellonski,Ukraine,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.783333,23.65+(Grodek Jagiellonski)&ie=UTF8&ll=49.783333,23.65&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.783333&long=23.65,-1039483,"Alternate?names: Horodok [Ukr], Gr?dek Jagiello?ski [Pol], Graydik [Yid], Gorodok [Rus], Grayding, Greiding, Grodig, Grudek Yagyelonski, Hrudek, Gr?dek","Ukrainian: ???????-???????????.   Yiddish: ???????? / ????????.   
 Russian: ?????? / ??????.   
 Hebrew: ????? ?????????  
There are a dozen places named 'Horodok' (???????) in Ukraine.  
This one is in Galicia, 16 miles WSW of Lviv.","2,952 (in 1880), 3,866 (in 1910)",Lwow,2952,1880,3866,1910,914.0,30.0,30.466666666666665,49.783333,23.65
"Grottkau, Grottkow",?,/town/grodkow.htm,50?42',17?23',Grodkow,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.7,17.383333+(Grodkow)&ie=UTF8&ll=50.7,17.383333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.7&long=17.383333,0,,,,,,1900,,,,,,50.7,17.383333
?,Warszawa,/town/grodzisk_mazowi.htm,52?07',20?38',Grodzisk Mazowiecki,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.116667,20.633333+(Grodzisk Mazowiecki)&ie=UTF8&ll=52.116667,20.633333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.116667&long=20.633333,-503407,"Alternate?names: Grodzisk Mazowiecki [Pol], Grodzhisk [Yid], Grodzisk-Mazovetskiy, Grodzhisk Mazovyets, Grodzisk","Russian: ????????-?????????.   Hebrew: ???????? ?????????
18 miles WSW of Warszawa, 6 miles S of B?onie.","2,154 (in 1897), 3,587 (in 1936)",Warszawa,2154,1897,3587,1936,1433.0,39.0,36.743589743589745,52.116667,20.633333
